id,alertname,difficulty,root_cause_real,solution_real,evidence_real,root_cause_pred,solution_pred,evidence_pred,tokens,completion_cnt,error,score
auth_l1,AuthServiceDownForRegion,easy,Missconfigured expiration date of certificate of region,Change expiration date of certificate,todo,The incorrect setting of the SSL/TLS expiration date to 01.01.1970 for the America-North region.,Correct the SSL/TLS certificate expiration date for the America-North region.,"t=2024-02-05T23:04:53.334234Z level=INFO msg=""config: Set SSL/TLS expiration date of America-North to 01.01.1970""
t=2024-02-05T23:12:53.334234Z level=INFO msg=""America-North: SSL/TLS certificate expiring soon.""
t=2024-02-05T23:21:53.334234Z level=WARN msg=""America-North: 10000 users were logged out due to wrong certificates.""
t=2024-02-05T23:47:53.334234Z level=INFO msg=""America-North: 10000 users were logged out due to wrong certificates.""",7348,4,No error,0
auth_l2,UserAuthServiceDown,easy,OAuth failed,Enable cache,todo,"The root cause of the UserAuthService being down is likely due to the service failing to access cached data, as suggested by logs highlighting that the cache-service was set to offline. This is further evidenced by the failure in logging in for users in different regions, indicating the service's inability to authenticate users without access to the cache.",The solution would involve investigating the reason behind the cache-service being marked as offline and resolving that issue to ensure that the UserAuthService can access cached data necessary for its operations. This might include starting up or fixing the cache service if it has crashed or is not operational.,Evidence from the logs includes the messages 'config: changed cache-service to offline.' followed by the errors 'OAuth-Provider not available. Loading cached user data.' and 'Could not access cached data.' Observation that the userauthsvc-main-0 pod has failed with 5 restarts supports the conclusion that it cannot function properly without access to the cache.,27368,11,Final answer not reached,0
msg_l1,ZeroCostAlert,easy,Broadcast with 0 cost item,Change cost to 10,todo,"The root cause of the ZeroCostAlert was an attempt to broadcast a message promoting an item 'Sword of darkness' for '-10$', which is not allowed. Due to the system's constraint on negative broadcast values, it automatically rounded up the value to 0$ and attempted to resend the broadcast.","To prevent such alerts in the future, the system should be updated to validate broadcast message values before attempting to broadcast. Specifically, it should reject any broadcasts with negative values and log an error message, instead of attempting to adjust the value to 0$ and resending the message. This change will avoid triggering the ZeroCostAlert due to unintentionally promoted items for 0$.","t=2024-02-05T22:48:27.334353Z level=INFO msg=""Broadcasted message: Item 'Sword of darkness' available for '-10$' a short time""
t=2024-02-05T22:50:27.334353Z level=WARN msg=""Negative Broadcast values not allowed. Rounded up to 0$. Resend Broadcast...""",26932,11,Final answer not reached,0
msg_l2,MessageSpam,easy,Message spam due to wrong resend value,Change resend value.,todo,The root cause of the 'MessageSpam' alert was the configuration change 'config: changed brodcast-resend to -1' in the 'messengersvc-main-1' pod.,"To address the issue, the 'broadcast-resend' configuration should be adjusted or restored to a valid positive value that prevents unintended message broadcasts. This would involve modifying the configuration to an appropriate non-negative value or to its original setting before the issue began.","The configuration change is observed in the log entry at t=2024-02-06T07:45:02.334472Z with 'config: changed brodcast-resend to -1', and the subsequent messages being repeatedly broadcasted in the logs after this change.",30406,11,Final answer not reached,0
msg_s1,MessagesBelowAverage,difficult,To few messages due to playerstats problems,Check playerstats service,todo,"The decrease in messages received by the 'messengersvc-main-0' is due to the recent policy change in 'playerstatssvc', where the 'message-send-policy' was altered to allow only players who had created an account for more than 500 days to send messages.","The solution involves modifying or reverting the 'message-send-policy' to a less restrictive timeframe. This change would enable more players to participate in sending messages, likely increasing the volume of messages received by 'messengersvc-main-0'.","t=2024-02-06T04:31:45.336485Z level=INFO msg=""config: changed message-send-policy to 500 days. Only players who created an account >500 days can send messages.""",27096,10,No error,0
msg_s2,NoMessagesFromRegion,difficult,Userauth problems,Check userauth service,todo,Incorrect SSL/TLS certificate configuration for America-North in the `userauthsvc` service,Update the SSL/TLS certificates for America-North in the `userauthsvc` service to valid ones,"t=2024-02-05T23:04:53.334234Z level=INFO msg=""config: Set SSL/TLS expiration date of America-North to 01.01.1970""
t=2024-02-05T23:12:53.334234Z level=INFO msg=""America-North: SSL/TLS certificate expiring soon.""
t=2024-02-05T23:21:53.334234Z level=WARN msg=""America-North: 10000 users were logged out due to wrong certificates.""",12736,6,No error,0
play_l1,PlayerStatsServiceDown,easy,Missconf in playerstatsvc.,Change db config,todo,Change in the database IP configuration to localhost.,Revert the database IP configuration change to its previous or a correct accessible IP address.,"t=2024-02-06T02:27:57.333252Z level=INFO msg=""config: changed ip of userstats-database to localhost""",27848,11,Final answer not reached,0
play_l2,TooManyPlayersAffected,easy,Config change affected too many players,Change config,todo,"The root cause of the 'TooManyPlayersAffected' alert is a configuration change in the 'playerstatssvc-main-0' that set the message-send-policy to 500 days, impacting 1,000,000 players.",The solution to this issue could be to revert the message-send-policy to its previous setting or adjust it to a more reasonable number of days that would not exclude such a large portion of the player base.,"The evidence supporting this finding comes from the log entry in 'playerstatssvc-main-0' stating, 'config: changed message-send-policy to 500 days. Only players who created an account >500 days can send messages.' and the subsequent log entry, 'config will roll out soon, 1000000 will be affected.'",29949,11,Final answer not reached,0
play_s1,PlayerStatsMissing,difficult,Paymentsvc failed,Check paymentsvc,todo,"The root cause of the PlayerStatsMissing alert is the inability of the paymentsvc (specifically paymentsvc-main-0) to handle transactions effectively due to a configuration change that rerouted traffic to an alternate provider (PayMePls), resulting in increased CPU usage.","Revert the IP address change for the external provider PayYay in the paymentsvc-main-0 configuration, and ensure the system's capability to efficiently manage the workload without causing overload.","The logs for the paymentsvc-main-0 pod show a 'config: changed ip of external provider PayYay' entry followed by warnings about not being able to reach PayYay and routing traffic to PayMePls, which caused increased CPU usage (WARN messages: 'CPU over 30%' and 'CPU over 45%'). This suggests that the configuration change led to system overload, affecting its communication with the playerstatssvc.",30708,11,Final answer not reached,0
play_s2,StatsCheckBelowAverage,difficult,Userauth problems,Check userauth service,todo,The cache-service being set to offline in the userauthsvc-main-0 pod.,The issue can be resolved by setting the cache-service back to online in the userauthsvc-main-0 pod.,"t=2024-02-06T03:35:49.332543Z level=INFO msg=""config: changed cache-service to offline.""",28628,11,Final answer not reached,0
